category,month,year,clicks
Joint & muscle preparations,9,2021,76036
Joint & muscle preparations,12,2021,78554
Joint & muscle preparations,4,2021,89063
Joint & muscle preparations,3,2021,95780
Joint & muscle preparations,2,2021,84361
Joint & muscle preparations,1,2021,98852
Joint & muscle preparations,11,2021,86302
Joint & muscle preparations,10,2021,90470
Joint & muscle preparations,8,2021,74063
Joint & muscle preparations,5,2021,94067
Joint & muscle preparations,7,2021,73108
Joint & muscle preparations,6,2021,67682
